Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
Quackals was out doing his part today. Thanks Quackals!,0.25,N,N,,,17:18:45,Monday,2016-09-12,N,1080x1080,7,1,800.0
"Happy 4th of July!

Use our 25% off ANY wash offer to make your car look brighter than ever and impress everyone at the 4th of July BBQ. 🎇 
 
Be the only one – find a location to impress. Ends 7/8. Friendly reminder, our wash will be closed at 5:00 p.m.",0.31875,N,N,,,12:32:12,Thursday,2024-07-04,Y,1080x1920,45,0,4500.0
"#LuckyDuckWednesday...It's your last chance to get this deal. Come see us!

http://ow.ly/qeiw303Zo5p",0.0,Y,N,LuckyDuckWednesday...It's,,07:14:04,Wednesday,2016-09-28,N,960x960,4,0,400.0
"If you need some shine this winter, stop by the car wash. ✨ #dontdrivedirty",0.0,Y,N,dontdrivedirty,,07:01:26,Friday,2022-01-07,N,1080x1080,38,1,3900.0
Happy #NationalDogDay to all of our puppies!,1.0,Y,N,NationalDogDay,,11:07:04,Monday,2024-08-26,Y,1080x1920,87,0,8700.0
#AutoFactFriday In 1924 a Ford automobile cost $265!,0.0,Y,N,AutoFactFriday,,17:06:45,Friday,2016-02-19,N,1080x804,1,0,100.0
It's #LuckyDuckWednesday!! Add on a Duck Bath or Duck Wax for just $1!  Just show this deal to your cashier to cash in on the savings!,0.0,Y,N,LuckyDuckWednesday!!,,09:06:43,Wednesday,2016-02-03,N,959x959,2,0,200.0
Vacuums are always free with your car wash! #lovefreevacuums #dontdrivedirty,0.5,Y,N,"lovefreevacuums, dontdrivedirty",,20:44:10,Friday,2012-10-12,N,612x612,4,0,400.0
"What is your go to Quick Quack Duck Scent?

Tell us yours in the comments only using emojis - we'll go first, 🍍🥥.",0.19444444444444442,N,N,,,09:02:53,Thursday,2023-08-17,N,1080x1350,3,24,2700.0
"Come in to any of our locations today. Even in the rain, we are still open. #rainorshine #quickquack #dontdrivedirty",0.0,Y,N,"rainorshine, quickquack, dontdrivedirty",,09:39:31,Wednesday,2014-03-26,N,640x640,10,0,1000.0
We wish you all a very #happyholiday!,0.25,Y,N,happyholiday!,,11:37:30,Thursday,2015-12-24,N,1080x675,0,0,0.0
Tag your friend who’s driving dirty. 🚗✨,-0.6,N,N,,,09:30:00,Monday,2024-01-22,Y,1080x1920,3,1,400.0
Protect your car from the weather. ☁️,0.0,N,N,,,09:53:50,Tuesday,2021-11-09,Y,720x1280,30,1,3100.0
It's a truck-washin' kind of day! #DontDriveDirty #quickquack,0.75,Y,N,"DontDriveDirty, quickquack",,18:12:57,Sunday,2016-02-14,N,1080x1080,8,1,900.0
Cleaning the trenches!!! The real dirty job. #quickquack #dontdrivedirty #lunchanyone,-0.8999999999999999,Y,N,"quickquack, dontdrivedirty, lunchanyone",,16:16:49,Tuesday,2013-04-09,N,612x612,4,0,400.0
"Today is the Grand Opening of our 1st Southern CA (Coachella Valley) Location. Celebrate with us by passing the word on to your friends in the area about our 10 Days of FREE CAR WASHES. Have a great day!

68279 E. Palm Canyon Rd. Cathedral City, CA 92234",0.475,N,N,,,09:24:03,Tuesday,2016-07-12,N,320x400,9,0,900.0
HAPPY VALENTINE'S DAY! Stop by your favorite #quickquack today and #ShareTheLove by purchasing a wash for someone behind you. Keep the love going! Share your experience with us using the #ShareTheLove hashtag! The location with the most participants will win a FREE WASH DAY!!!,0.5660714285714287,Y,N,"quickquack, ShareTheLove, ShareTheLove",,09:07:09,Saturday,2015-02-14,N,640x640,2,0,200.0
"Thumbs up if you got your car washed today!

#DontDriveDirty",0.0,Y,N,DontDriveDirty,,12:05:33,Monday,2017-10-23,N,1080x1080,30,2,3200.0
"It's getting chilly ❄... starting November 1st, our stores are open from 7am to 7pm (hours may vary by location).",-0.19999999999999998,N,N,,,07:30:54,Sunday,2020-11-01,N,1080x1080,64,1,6500.0
Our employees love when the ice cream truck stops by! #weallscreamforicecream #quickquack,0.625,Y,N,"weallscreamforicecream, quickquack",,08:33:26,Saturday,2015-04-25,N,640x640,4,0,400.0
"Did you know that washing a car in a driveway or parking lot releases harmful soaps, chemicals and road phosphates into fragile ecosystems through storm drains designed for rainwater. 
#DontDriveDirty #QuickQuackCarWash #QuickQuack 
http://qoo.ly/q69r6",0.0,Y,N,"DontDriveDirty, QuickQuackCarWash, QuickQuack",,08:12:33,Saturday,2018-06-16,N,1080x594,5,0,500.0
"Happy Memorial Day! 
#DontDriveDirty #memorialday",1.0,Y,N,"DontDriveDirty, memorialday",,05:04:10,Monday,2018-05-28,N,1080x870,33,0,3300.0
"It's #luckyduckwednesday and we've got 1,2,3,4 deals for you! $1 off Basic wash, $2 off Clean wash, $3 off Shine wash, or $4 off Protect wash! Just mention this deal to the cashier to cash in on the savings! #dontdrivedirty",0.28645833333333337,Y,N,"luckyduckwednesday, dontdrivedirty",,10:06:24,Wednesday,2015-09-02,N,1080x1080,5,0,500.0
"Quick Quack Car Wash is pleased to announce that Jason Johnson, the Chief Executive Officer and Co-Founder of the company, has been honored with the Ernst & Young Entrepreneur Of The Year® 2023 Bay Area Award. 

Read more about this award in our link in the bio.",0.3583333333333333,N,N,,,06:57:13,Wednesday,2023-06-14,N,1600x1600,110,16,12600.0
"This is the perfect weekend to have your kids & students work on their Quackals story! Grand Prize is $1,000!!! http://ow.ly/8RuC305cFgm",0.98828125,N,N,,,21:55:34,Friday,2016-10-14,N,800x800,2,0,200.0
"September 1st cannot come soon enough! Comment “❤️” if you know what it is. 

#QuickQuack #DontDriveDirty #ScentedCarWash #ComingSoon",0.0,Y,N,"QuickQuack, DontDriveDirty, ScentedCarWash, ComingSoon",,14:30:00,Sunday,2024-08-25,Y,1080x1920,81,6,8700.0
Love our fans!!! Thank you for all the awesome reviews - it's a pleasure to serve you! #bestcustomers,0.98828125,Y,N,bestcustomers,,13:38:33,Thursday,2015-09-10,N,509x509,7,0,700.0
"When The Mystery Machine needed a wash!

#TBT #DontDriveDirty #Awesome",1.0,Y,N,"TBT, DontDriveDirty, Awesome",,05:30:24,Thursday,2018-03-29,N,1080x810,54,0,5400.0
"Happy Something on a Stick Day! Quackals says, ""It might as well be sweet!""",0.71875,N,N,,,10:35:06,Wednesday,2018-03-28,N,1080x1132,28,3,3100.0
"Today is Chocolate Covered Raisins Day and Quackals is ecstatic! Usually he doesn't need a reason to indulge himself with these little treats but today he finally has one!

#DontDriveDirty",-0.14583333333333334,Y,N,DontDriveDirty,,07:45:07,Saturday,2018-03-24,N,1080x944,20,1,2100.0
"Thank you to everyone who participated in the Most Courteous Person Contest! We have a Winner! Congratulations KAYLEAH NORONO!

http://ow.ly/8HuW304HNWp",0.75,N,N,,,12:41:07,Friday,2016-09-30,N,720x734,3,1,400.0
Before & After #dontdrivedirty #quickquack,0.0,Y,N,"dontdrivedirty, quickquack",,13:37:35,Friday,2015-09-11,N,1080x1080,4,0,400.0
It's Friday! Time to play. Any fun plans for the weekend?,0.3,N,N,,,10:46:06,Friday,2017-02-24,N,976x976,15,0,1500.0
Are you ready for #BlackFriday!? We've got the perfect gift idea and its #HalfOff!! Order online or stop by your favorite location this Friday!,0.625,Y,N,"BlackFriday!?, HalfOff!!",,13:33:21,Wednesday,2015-11-25,N,530x530,1,1,200.0
It's #LuckyDuckWednesday!! Add on a Duck Bath or Duck Wax for just $1! Just show this deal to your cashier to cash in on the savings!,0.0,Y,N,LuckyDuckWednesday!!,,08:36:13,Wednesday,2016-02-10,N,959x959,3,0,300.0
"On this day in 1916, The ""First Lady"" of Nascar, Louise Smith, was born. 
source: http://qoo.ly/r5a3b",0.25,N,N,,,20:03:59,Tuesday,2018-07-31,N,612x558,28,0,2800.0
"The duck is coming to…

🌟Corpus Alameda, TX🌟Now you’ll have two convenient locations!

Who’s going to be the first one to go? 🤭👇 

Tag your ducky friend!

 #QuickQuack #QuickQuackCarWash #CarWashCorpusAlameda #CorpusAlameda",0.3125,Y,N,"QuickQuack, QuickQuackCarWash, CarWashCorpusAlameda, CorpusAlameda",,09:18:42,Thursday,2024-09-12,Y,1080x1920,57,7,6400.0
"Have you noticed the new scent in the wash lately?

Quick tip - turn off your air recirculation to take in the ✨ new spring scent ✨.

Have you had a chance to try it? Vote in the comments.
🌸Yes, and it's Quacktastic.
🙂 No, not yet but I want to.",0.202020202020202,N,N,,,07:40:37,Wednesday,2024-04-24,N,1080x1080,3,9,1200.0
"Nothing says I love my truck like a quick wash at Quick Quack. Look at that shine. Keep using #dontdrivedirty to show us your shine.

📹 @thatblackraptor",0.38888888888888884,Y,Y,dontdrivedirty,thatblackraptor,07:42:02,Wednesday,2024-04-03,Y,1080x1920,75,5,8000.0
"Happy Thanksgiving from our flock to yours! 🦃🧡 

Our stores are closed today so our team can enjoy the holiday, but we’ll be back tomorrow to keep things quackin’.

Comment below the person you're grateful for! 👇

#QuickQuackCarWash #Thanksgiving #CarWashNearMe #CarWash #Thankful",0.325,Y,N,"QuickQuackCarWash, Thanksgiving, CarWashNearMe, CarWash, Thankful",,06:02:02,Thursday,2024-11-28,N,612x612,117,7,12400.0
"No one wants to show up to Thanksgiving dinner in a dirty car... get Holiday-ready the fastest and easiest way, visit Quick Quack to make sure you Don't Drive Dirty. #dontdrivedirty #quickquack",-0.033333333333333326,Y,N,"dontdrivedirty, quickquack",,07:30:12,Monday,2020-11-23,N,1080x1080,81,0,8100.0
Hope you're having a good weekend!,0.875,N,N,,,18:52:41,Saturday,2016-09-17,N,667x667,8,0,800.0
"Last week, Quick Quack Car Wash was excited to announce that every team member became an owner of the company! 🐥

Through our valuable partnerships with Seidler Equity Partners and KKR, we celebrated the hard work, dedication, and passion of our incredible flock, who consistently strive to make a difference. This milestone reflected our commitment to rewarding our people and advancing our mission to Change Lives for the Better. 

#QuickQuack #QuickQuackCarWash #DontDriveDirty #EmployeeEmpowerment #MakingADifference #CompanyCulture",0.3344907407407407,Y,N,"QuickQuack, QuickQuackCarWash, DontDriveDirty, EmployeeEmpowerment, MakingADifference, CompanyCulture",,14:36:26,Tuesday,2024-10-15,Y,1920x1080,168,9,17700.0
Hello!  I'm Jason the manager at our Rancho Cordova location.  I've been with Quick Quack 9 years and look forward serving you.  See you soon!,0.41666666666666663,N,N,,,18:08:37,Sunday,2015-08-02,N,320x320,5,0,500.0
"New year, clean car. The shine never ends. ✨",0.2515151515151515,N,N,,,07:14:20,Monday,2022-01-31,Y,720x1280,60,2,6200.0
We like to have fun! Come Quack with us. Thanks for the great pic Safetyville USA!,0.525,N,N,,,16:40:46,Monday,2016-06-13,N,640x640,6,1,700.0
"Press and hold to pick out his outfit for the day! What outfit did you land on? ✨👕

#quickquackcarwash #Dontdrivedirty #backtoschool",0.0,Y,N,"quickquackcarwash, Dontdrivedirty, backtoschool",,07:18:41,Thursday,2024-08-22,Y,1080x1920,85,15,10000.0
"Thank you everyone that nominated for the most courteous person! Now it's time to vote! Share this post so your nominee can win.
http://ow.ly/8pfz304gob4",0.7458333333333332,N,N,,,08:45:26,Friday,2016-09-16,N,960x960,3,0,300.0
#dontdrivedirty #quickquackcarwash #gounlimited,0.0,Y,N,"dontdrivedirty, quickquackcarwash, gounlimited",,09:14:54,Tuesday,2018-05-08,N,612x612,40,2,4200.0
"Don’t miss your chance to visit Quackenstein’s Car Wash before it leaves on Halloween. 
This frighteningly fun experience is free for members, and the price of a best wash for non-members.",0.5666666666666667,N,N,,,19:01:41,Monday,2022-10-17,Y,960x720,274,12,28600.0
We're a proud sponsor of Rancho Cordova Girls Softball and out celebrating #openingday! #PlayBall,1.0,Y,N,"openingday!, PlayBall",,11:29:28,Saturday,2015-03-21,N,640x640,4,1,500.0
Who's ready to watch some football???,0.2,N,N,,,10:38:09,Sunday,2017-02-05,N,1000x1000,20,1,2100.0
"Even Quackals is playing Pokemon Go!

#DontDriveDirty #Pokemon #pokemongochallenge",0.0,Y,N,"DontDriveDirty, Pokemon, pokemongochallenge",,21:44:50,Tuesday,2016-07-12,N,640x640,9,0,900.0
Are you feeling gray? Pay us a visit to turn your blues into a rainbow. 🌈 #dontdrivedirty,0.0,Y,N,dontdrivedirty,,08:00:06,Wednesday,2021-09-08,N,1080x1080,60,2,6200.0
"Hi Phoenix! 👋 Stop by our newest location on Bethany Home Road for our special fundraiser in partnership with @the.autism.nation and @arizona_autism. From now until 6pm, get a free car wash in exchange for donations. We are raising fund for a local family, whose house burned down on Christmas Eve. Although they made it out safe, they lost all of their belongings, including essential medication for their daughter who has Down Syndrome. Quick Quack will match all donations up to a pre-determined amount. Come see us to support a local family and get a free car wash! #QQCares #quickquack #fundraiser #dontdrivedirty",0.17793650793650795,Y,Y,"QQCares, quickquack, fundraiser, dontdrivedirty","the.autism.nation, arizona_autism.",14:59:30,Monday,2021-01-11,N,612x612,70,1,7100.0
"#AutoFactFriday 
The price of the most expensive car ever made was a 1931 Bugarri Royale Kellner Coupe. It cost $8.7 Million.

#DontDriveDirty

source: Yahoo",0.0,Y,N,"AutoFactFriday, DontDriveDirty",,21:09:13,Friday,2016-08-19,N,320x293,5,0,500.0
Happy #PresidentsDay!,1.0,Y,N,PresidentsDay!,,09:42:52,Monday,2016-02-15,N,449x288,6,0,600.0
"Get in bestie - we're going to Quick Quack!
.
.
.
#dontdrivedirty
#quickquackcarwash
#carwash
#drivethrcarwash
#carwashes
#Unlimitedcarwash
#washcar
#texascarwash
#arizonacarwash
#coloradocarwash
#utahcarwash
#californiacarwash
#Quackals",0.41666666666666663,Y,N,"dontdrivedirty, quickquackcarwash, carwash, drivethrcarwash, carwashes, Unlimitedcarwash, washcar, texascarwash, arizonacarwash, coloradocarwash, utahcarwash, californiacarwash, Quackals",,08:01:06,Thursday,2023-03-23,N,1080x1350,139,1,14000.0
Happy Friday!,1.0,N,N,,,09:55:06,Friday,2018-04-27,N,1080x1107,42,1,4300.0
Happy National Car Wash Day! 🚗✨ Raise your hand if you're getting your car washed today 👋 #DontDriveDirty,1.0,Y,N,DontDriveDirty,,08:00:45,Sunday,2021-03-28,N,1080x1080,97,8,10500.0
How clean is your ride this weekend?  Stop by any of our locations for a 3-minute fast wash! #dontdrivedirty,0.30833333333333335,Y,N,dontdrivedirty,,13:14:56,Saturday,2016-03-12,N,1080x1080,8,0,800.0
"Beat the heat with a splash of water, soap - and bug blaster. Our Summertime Shine Event is in full swing. Visit our locations to learn more (at participating locations. Prices may vary).",0.425,N,N,,,09:00:32,Tuesday,2021-07-20,N,1080x1080,91,8,9900.0
"It's #luckyduckwednesday - stop in and take advantage of our 1-2-3-4 deals! $1 off Basic wash, $2 off Clean wash, $3 off Shine wash, or $4 off Protect wash! Just mention this deal to your cashier to get the savings!!!",0.4475911458333334,Y,N,luckyduckwednesday,,10:07:14,Wednesday,2015-09-16,N,1080x1080,5,0,500.0
With the current weather conditions we have decided to close all our locations at NOON today to allow our employees more time to enjoy their families for the holiday!,0.3333333333333333,N,N,,,11:36:40,Thursday,2015-12-24,N,1080x675,1,0,100.0
"What was your favorite part of the Olympics over the weekend? 
Here's the Quick Quack version of the Olympics...",0.41666666666666663,N,N,,,09:27:18,Monday,2016-08-08,N,802x803,7,0,700.0
"#TBT

Oh Quackals, you have changed so much! We're so proud!

#DontDriveDirty",1.0,Y,N,"TBT, DontDriveDirty",,10:11:07,Thursday,2018-02-08,N,1080x1080,39,0,3900.0
"We hope you had a relaxing weekend! 
#DontDriveDirty #FootballSeason #Footballgame",0.0,Y,N,"DontDriveDirty, FootballSeason, Footballgame",,10:43:03,Monday,2018-01-29,N,1000x1000,28,2,3000.0
Thanks for voting for us!! #quickquack #dontdrivedirty #weloveourcustomers,0.3125,Y,N,"quickquack, dontdrivedirty, weloveourcustomers",,18:59:26,Saturday,2014-07-05,N,640x640,11,0,1100.0
"Lets throw back to Tuesday. We had 2 Ribbon cuttings for our new locations in Antelope, CA & Spring, TX. We look forward to continuing to grow, so we can serve you better! #TBT",0.2537878787878788,Y,N,TBT,,11:43:28,Thursday,2017-01-19,N,1000x1000,25,0,2500.0
"Thank you to all the brave humans who have served our country. This #VeteransDay, we salute you. Come in and try our best wash on us!",0.9,Y,N,"VeteransDay,",,17:00:46,Friday,2022-11-11,N,600x338,53,0,5300.0
"Are you feeling lucky!?! Today you can purchase a 30 Day Shine Membership for only $20.17!

http://ow.ly/1DLo307PIQc

#LuckyDuckWednesday",0.26041666666666663,Y,N,LuckyDuckWednesday,,09:08:16,Wednesday,2017-01-25,N,960x684,11,2,1300.0
"We will be celebrating the 4th of July every Wednesday for the whole month of July! You can purchase a Basic 5 Wash Card at any location for only $17.76 (Reg $30). Unlimited members can buy one Quick Quack Air Freshener and get the second one FREE. 
#LuckyDuckWednesday",0.1638888888888889,Y,N,LuckyDuckWednesday,,07:21:56,Wednesday,2016-07-06,N,960x960,8,0,800.0
Share with the Vets in your life... #DontDriveDirty,0.0,Y,N,DontDriveDirty,,14:16:08,Thursday,2017-11-09,N,1080x608,26,2,2800.0
"Happy faces at our first Ribbon Cutting of the year, in Pleasant View, Utah. We have many more Ribbon Cuttings coming up this year! Where would you like to see us next? 🚗 ✨",0.3297619047619048,N,N,,,07:27:04,Friday,2020-01-10,N,1080x720,76,2,7800.0
"Did you know that your non-profit can sell wash cards and earn money? Yep! 20% of what your group sells, the organization gets to keep. 
Ask the Manager at your local Quick Quack for more information. 
http://qoo.ly/r8v4w",0.27777777777777773,N,N,,,08:25:57,Monday,2018-08-06,N,1080x838,22,0,2200.0
"We at Quick Quack Car Wash would like to wish everyone a Happy Martin Luther King Jr. Day!
˙
""Everybody can be great...because anybody can serve. You don't have to have a college degree to serve. You don't have to make your subject and verb agree to serve. You only need a heart full of grace. A soul generated by LOVE.""
˙
Pictured: Dr. Martin Luther King Jr. with his family.
#MLK #MLKDay",0.3361111111111111,Y,N,"MLK, MLKDay",,17:00:23,Monday,2019-01-21,N,720x575,47,0,4700.0
"We hope you had a great weekend! We enjoyed serving our Veterans on Saturday. We ended up giving away 1,000 FREE Car Washes to Veterans that day. Thank you for your service!",0.6666666666666666,N,N,,,13:54:56,Monday,2017-11-13,N,800x600,31,0,3100.0
"Happy Friday!

#DontDriveDirty",1.0,Y,N,DontDriveDirty,,13:05:29,Friday,2017-08-04,N,640x640,18,0,1800.0
It's #LuckyDuckWednesday!! Add on a Duck Bath or Duck Wax for just $1! Just show this deal to your cashier to cash in on the savings!,0.0,Y,N,LuckyDuckWednesday!!,,10:04:00,Wednesday,2016-03-30,N,959x959,3,0,300.0
"Now—for a limited time—purchase any unlimited membership and after the second month, you’ll get the third month free*. 
With a Quick Quack membership, you can wash as often as you want, at any location. Go unlimited and dive into fall knowing mud, bugs and tree sap won’t last for long on your car.",0.08741496598639456,N,N,,,07:02:49,Saturday,2022-10-01,N,1080x1079,100,2,10200.0
Thank goodness for FREE vacuums!!!,0.78125,N,N,,,10:31:30,Sunday,2016-09-25,N,710x710,2,0,200.0
"Martha’s Village (@marthasvillage) in the Coachella Valley has been helping individuals and families break the cycle of homelessness. Since 1990, they’ve been providing everything from meals to career assistance, and emergency services. Stop by our Coachella Valley locations to help us support Martha’s Village and their essential programs. From now to Dec. 12th, we will be collecting direct donations to benefit their programs. You may also sign up for a membership for only $12 for your first month, we will donate a portion of our membership sales to the organization. #QQCares #12DaysofGiving",0.0875,Y,N,"QQCares, 12DaysofGiving",,07:00:46,Friday,2020-12-04,N,1080x1080,34,0,3400.0
It's a great day to get your car washed!,1.0,N,N,,,11:11:04,Sunday,2016-09-18,N,1080x608,7,0,700.0
Our awesome employees had a blast dressing up for #Halloween! #quickquack #dontdrivedirty,1.0,Y,N,"Halloween!, quickquack, dontdrivedirty",,15:06:39,Saturday,2014-11-01,N,640x640,3,0,300.0
"I like apples too 🤭

What song should I dance to next? Comment below 👇 

#QuickQuackCarWash #QuickQuack #CarWash #Apples #Quackals",0.0,Y,N,"QuickQuackCarWash, QuickQuack, CarWash, Apples, Quackals",,05:32:15,Tuesday,2024-08-20,Y,1080x1920,99,6,10500.0
"Happy #TeacherAppreciation Day! To express our thanks - show your Teacher ID and EVERYTHING is #HalfOff! Thank you for everything you do! 
SHARE with all your teacher friends.
**valid for Tuesday, May 3rd only**",0.328125,Y,N,"TeacherAppreciation, HalfOff!",,07:50:24,Tuesday,2016-05-03,N,531x358,2,0,200.0
"Quackals playing soccer with his buddies back in the day. #TBT

#DontDriveDirty",0.0,Y,N,"TBT, DontDriveDirty",,09:46:57,Thursday,2017-06-15,N,1080x1080,33,0,3300.0
Happy No Beard Day! All of our employees will be celebrating all day long!,0.46875,N,N,,,09:04:56,Tuesday,2016-10-18,N,1000x966,8,0,800.0
"Discover the perfect Quick Quack for you!

With numerous convenient locations, you can find one just about anywhere.

What’s your favorite Quick Quack location?

Let us know down below. 👇",0.3490740740740741,N,N,,,09:52:38,Saturday,2024-01-06,Y,1080x1920,166,42,20800.0
"Have you gone NUTS trying to find the perfect gift? Our car wash gift cards and holiday edition air fresheners make great stocking stuffers! 🎁🎅🏻🎄 Drive safe this holiday season, but Don’t Drive Dirty! 💦🚗 Happy holidays from Quick Quack Car Wash! ☃️",0.4944444444444444,N,N,,,11:26:42,Monday,2019-12-23,N,1440x1440,47,0,4700.0
"Myles was nominated and chosen to be the recipient of the @quickquackcarwash fundraiser! Quick Quack Car Wash chooses a person, family, organization, etc to do a fundraiser for at the opening of all of their car wash locations. After everything that we have endured this past year, Myles was chosen to be the recipient for the Daybreak Quick Quack opening. Monday, November 13th from 3-6 pm, swing by 11744 S Trail Crossing Dr, South Jordan UT 84009 and make a donation to Myles to receive a free car wash! Every dollar donated, Quick Quack will match dollar for dollar. We hope to see you there!
.
.
.
#dontdrivedirty #daybreak #quickquackcarwash #duck #fundraiser",0.2222222222222222,Y,Y,"dontdrivedirty, daybreak, quickquackcarwash, duck, fundraiser",quickquackcarwash,19:40:05,Saturday,2023-11-11,N,612x612,153,5,15800.0
We're feeling like number two and what about you? 🤩,0.0,N,N,,,12:12:51,Friday,2024-06-07,N,612x612,139,15,15400.0
"In 2000 Trunk-Or-Treating was introduced. It's an alternative to traditional Trick-Or-Treating. Organization create and event where people park their decorated vehicle in a parking lot. They leave the trunk open and full of candy, while the children collect their goodies.

#AutoFactFriday

Source: http://ow.ly/wR6W305q7Hs",0.11666666666666665,Y,N,AutoFactFriday,,15:22:57,Friday,2016-10-21,N,400x500,18,1,1900.0
"Things are a little different this year, but we hope you have a fun and safe 4th of July! 🎆🇺🇸🎇 We will be closing at 5pm today!",0.2234375,N,N,,,07:00:21,Saturday,2020-07-04,N,720x720,80,14,9400.0
"Next time you're at the wash, spark a conversation with a team member and surprise them with your knowledge of the wash. They'll appreciate it! 🧼🚘

#QuickQuack #CleanCar #QuickQuackCarWash #QualityCarWash #DontDriveDirty",0.0,Y,N,"QuickQuack, CleanCar, QuickQuackCarWash, QualityCarWash, DontDriveDirty",,09:03:13,Wednesday,2024-11-13,N,612x612,88,3,9100.0
"$1 Tire Shine today! #LuckyDuckWednesday 
http://ow.ly/rJUy3052Udq",0.0,Y,N,LuckyDuckWednesday,,07:20:22,Wednesday,2016-10-19,N,960x960,6,0,600.0
"Did you know that washing a car in a driveway or parking lot releases harmful soaps, chemicals and road phosphates into fragile ecosystems through storm drains designed for rainwater. 
#DontDriveDirty #QuickQuackCarWash #QuickQuack 
http://qoo.ly/pyad8",0.0,Y,N,"DontDriveDirty, QuickQuackCarWash, QuickQuack",,12:42:06,Friday,2018-06-08,N,1080x594,7,0,700.0
"Did you know that all of the products we use to clean your vehicle are 100% Bio-Degradable? Yep! We are proud to be an environmentally friendly company. 
#DontDriveDirty #EnvironmentallyFriendly

https://www.dontdrivedirty.com/2017/04/21/environmentally-friendly-car-wash/",0.5444444444444444,Y,N,"DontDriveDirty, EnvironmentallyFriendly",,10:14:48,Tuesday,2018-05-15,N,1000x858,9,0,900.0
Testing out the new lights! #dontdrivedirty #quickquack,0.17045454545454544,Y,N,"dontdrivedirty, quickquack",,14:16:57,Monday,2015-09-14,N,1080x1080,4,0,400.0
"Quackals likes Halloween!

#DontDriveDirty",0.0,Y,N,DontDriveDirty,,13:09:52,Thursday,2016-10-27,N,1080x810,10,0,1000.0
"It's Create a Vacuum Day! We've created a lot of vacuums! And the best part is...You can use them for FREE when you wash your car at one of our locations. 
http://ow.ly/6XXA308CPjj",0.4623263888888889,N,N,,,12:02:31,Saturday,2017-02-04,N,1000x1000,10,0,1000.0
It’s #RedNoseDay!  We’re wearing our red noses to bring awareness to children in need here at home and around the world! A little bit of silly for a fantastic cause...Do you have your red nose yet?,-0.057499999999999996,Y,N,RedNoseDay!,,16:32:00,Thursday,2016-05-26,N,1080x1080,8,2,1000.0
We feel the same way! #DontDriveDirty,0.0,Y,N,DontDriveDirty,,18:40:04,Thursday,2016-01-28,N,338x338,3,0,300.0
"A heartfelt thank you to the incredible community of El Paso, Texas! 💛
 
Together, we have changed Erick Santillana’s life for the better on his journey towards recovery. After a devastating hit-and-run accident, your generosity has helped us raise and match $4,000 for his family.

📍 Location: 1341 N. Zaragoza Road, El Paso, Texas

 #QQcares #CarWash #ElPaso #GrandOpening #QuickQuackCarWash #QuickQuack  #CommunitySupport #CarWashNearMe #ElPasoTexas",0.125,Y,N,"QQcares, CarWash, ElPaso, GrandOpening, QuickQuackCarWash, QuickQuack, CommunitySupport, CarWashNearMe, ElPasoTexas",,16:23:01,Tuesday,2024-11-05,Y,1080x1920,76,4,8000.0
"This is fun! We thought we would share with you guys.

http://ow.ly/tYfO30b28zZ

#AutoFactFriday #DontDriveDirty",0.375,Y,N,"AutoFactFriday, DontDriveDirty",,06:18:29,Friday,2017-04-21,N,502x502,9,0,900.0
It's Wave All Your Fingers at Your Neighbor Day! We hope you and your neighbor have a great day!,1.0,N,N,,,10:31:18,Tuesday,2017-02-07,N,978x978,15,0,1500.0
It's official! The ribbon is cut! Quick Quack car wash Sacramento College Greens is open! 10 days of FREE washes starts tomorrow! Stop by and give us a try! #dontdrivedirty,0.3194444444444444,Y,N,dontdrivedirty,,18:34:55,Monday,2014-11-03,N,640x640,11,0,1100.0
"Congratulations to the winner of our Tie Design Contest... Rowan Fanner from Texas, with a special design entitled ""Let Me Clean Your Car"".
Thank you to everyone who submitted their designs, we received hundred of entries! Check out our stories to view some of our favorites!
#dontdrivedirty #quickquack",0.465029761904762,Y,N,"dontdrivedirty, quickquack",,13:00:23,Friday,2020-08-28,N,1080x863,103,8,11100.0
Did you know you can get a free wash on your birthday!? Sign up here: http://ow.ly/7qat300o7Zo,0.5,N,N,,,16:35:33,Thursday,2016-05-19,N,1080x833,4,0,400.0
#TipTuesday from the wise Quackals... Change your passwords into a GOAL. It forces you to think about it!,0.875,Y,N,TipTuesday,,13:38:12,Tuesday,2016-08-09,N,1000x665,6,0,600.0
"How good am I with a camera? 😎

You’re quacktastic @lifeonfilm.27 

#QuickQuack #Dontdrivedirty #QuickQuackexperience #CleanCarClub #Driveclean",0.7,Y,Y,"QuickQuack, Dontdrivedirty, QuickQuackexperience, CleanCarClub, Driveclean",lifeonfilm.27,10:32:32,Thursday,2024-07-18,Y,1080x1920,171,20,19100.0
"Quick Quack COVID-19 Update:

Dear Customers,

To minimize the impact of COVID-19, and for the safety of our Customers and Team Members, we are closing every other vacuum at some locations and all vacuums at others.

We have also temporarily adjusted our hours to 9am - 7pm.

Thank you for your understanding.",0.06666666666666667,N,N,,,07:30:07,Thursday,2020-03-19,N,1080x1080,95,4,9900.0
